,comment,gen_comment,sentiment
6946,اصلا فکرشم نمی‌کردم این شکلی بودین,اصلا فکرشم نکنه این شکلی بودین,0
5746,اگه خدا بخواد امروز هوای اهواز ابریه، نم نم بارون هم داشتیم، به امید خدا تغییر جهت نداشته باشیم,اگه خدا بخواد امروز اسمان اهواز ابریه ، نم نم بارون هم داشتیم ، به امید خدا این جهت نداشته باشیم,1
5085,واقعا که ب این مقایسه.,واقعا که ب این ترتیب,-1
8044,از مسولین بپرسید چرا انقدر دروغ؟ تا کی؟ مردم دیگه همه چیز را میدونند,از مسولین بگید چرا انقدر دروغ ؟ تا الان مردم دیگه همه چیز را میدونند,-1
5797,بخدا اینقدر به این انسانهای بی تدبیر التماس میکنم که تو رو خدا آب پاشی نکنید. کوچه رو لازم نیست بشورین ولی چه فایده … نرود میخ آهنین در سنگ … ملت مستحق ن … یه روز بیاد که اون بالا‌ها خودشون آب مجانی ببرن به ما بیچاره هزار برابر قیمت بفروشن.. مثل خیلی چیزای دیگه,بخدا اینقدر به این دولت بی تدبیر التماس میکنم که تو رو خدا اب پاشی سر کوچه رو لازم نیست بشورین ولی چه فایده … نرودی اهنین در سنگ … ملت مستحق ن … یه روز میخوان که اون بالاها خودشون اب کشی ببرن به ما بیچاره هزار برابر قیمت … مثل خیلی ادمهای دیگه,-1
961,اقتصادو نمیتوید درست کنید فسادو رانت خواری رو نمیتونید درست کنید پولشوییو آب و برقو نمیتونید درست کنید هوارو نمیتونید درست کنید اختلاسو نمیتونید درست کنید حداقل اینو که میتونید درست کنید که کمتر از بیست و چهار ساعت میتونید سوابق تحصیلی رو بی اثر کنید,اقتصادو نمیتوید درست کنید فسادو رانت خواری رو نمیتونی درست کنید پولشوییو اب و برقو نمیتونید درست کنید هوارو مجانی درست کنید اختلاسو نمیتونید درست کرد حداقل اینو که میتونید درست کنید که قبل از بیست و چهار ساعت میتونید سوابق تحصیلی رو بی اثر کنید,-1
1177,ممنون که میاید,ممنون که مرسی,1
4652,علی دایی و علی کریمی,علی دایی و محمود کریمی,0
5285,فقط ی روز مهندس مونده واسه مهندسا.. ‌نه کاری نه پولی نه شغلی …,فقط ی روز مهندس. واسه مهندسا.. نه کاری نه پولی نه کاری …,-1
2270,یعنی اقای رشید پور نیست؟ حالاخورشیدبدون اقای رشید پور معنی نداره,یعنی اون رشید پور نیست ؟ حالاخورشیدبدون اقای رشید پور معنی نداره,-1
5293,زنده باشید اقای رشیدپور عزیز,زنده باشید اقای رشیدپور ،,1
8199,الان کلی دشمن پیدا کردم، دشمن حبیب خداست,الان کلی دشمن پیدا کردم ، دشمن ما خداست,-1
5501,کاش یک موی. ایشون توی تن اون گروهبانی که ستاره وقپه روی دوشش داره بود که ماشین کسی که نیست رو پنچر میکنه,کاش یک موی. ایشون توی تن اون گروهبانی که ستاره وقپه روی دوشش داره هست که اون کسی که نیست رو پنچر میکنه,-1
877,چرا رتبه‌ها اینجوری حساب کردید بی پدرو مادر‌ها چرا نمیفهمید زندگی بقیرو سیاه کردید,چرا رتبهها اینجوری حساب کردید بی پدرو مادرها چرا وضعیت زندگی بقیرو سیاه کردید,-1
7696,روح تمامی شهدای اتشنشان گرامی باد,روح تمامی شهدای کشور گرامی باد,-1
5641,۲۲۴۳ حق باشماست ولی متاسفانه وضعیت خراب‌تر از چیزیه که بشه با نکات مثبته اندکی که وجود داره حلش کرد,۲۲۴۳ حق باشماست ولی متاسفانه خیلی خرابتر از چیزیه که بشه با نکات مثبته فراوانی که وجود داره حلش کنین,-1
2160,تبریک جناب آقای رشید LINK قوت,به جناب اقای رشید link قوت,1
4842,ببین پرویز داداش رشید پور زیاد بهت رو داده به دستو پام نچسب له و لوردت میکنم‌ها‌ها,ببین پرویز داداش رشید پور زیاد بهت رو داده به دستو پامور و لوردت میکنمهاها,1
8273,روحشان LINK به همه‌ی ایرانیوک,روحشان خوش به همهی ایرانیوک,0
7575,واقعا عالی هستی دمت گرم ی دهه شصتی مگه میتونه بد باشه,واقعا عالی هستی دمت گرم ی سال شصتی مگه میتونه بد باشه,1
4399,جناب آقای شادمهر عقیلی),به اقای شادمهر عقیلی ),0
2581,دهن کثیفت لطفا ببند و ب شهرهای ایران توهین نکن گوساله,دهن کثیفت لطفا ببند و ب مسيولین ایران توهین نکن گوساله,-1
4715,خودتون آقای رشید پور و آقای مدیری,خودتون ببینید رشید پور و اقای مدیری,0
3897,چهره موسیقی ایران تمام دختران و زنان هنرمند خوش صدا و آزاده سرزمینمون هستند که چهل ساله صدای گوشنواز و آسمانیشون از مارکت موسیقی ایران عزیزمون حذف شده,چهره موسیقی ایران تمام دختران و زنان هنرمند خوش صدا و ازاده سرزمینمون هستند که چهل ساله صدای ملکوتی و اسمانیشون از مارکت موسیقی ایران عزیزمون حذف میشد,-1
5276,"چرااز سپندارمذگان چیزی نمیگید,چرا تاریخ ایرانی داره محو میشه,شماها باس بگید که مردم فراموش نکنن این روز,سپندارمذگان روز عشق,روز زن درستکار و شوهر دوست ایرانی بر همه ایرانی‌های عزیزم شادباش","چرااز سپندارمذگان چیزی نمیگید, چرا زن ایرانی داره محو میشه, شماها باس بگید که مردم فراموش نکنن این روز, سپندارمذگان روز عشق, روز زن درستکار و شوهر شایسته ایرانی بر همه هموطنان عزیزم شادباش",-1
7904,توی ساختمانی که زمان شاه ساخته_شده_است برنامه می‌سازند و حالا از بردن نام شاه هل می‌شوند عجب آدم‌های نا سپاسی,توی ساختمانی که از شاه ساخته [UNK] شده [UNK] است برنامه میسازند و حالا از بردن نام شاه هل میشوند عجب ادمهای خیلی سپاسی,-1
7924,نداشتین شماره تلگرامو,لطفا شماره تلگرامو,0
7528,انتقاد ندارم جز اینکه نباشی برنامه بی نشاط میشه هرکس هم نظرش جز اینه بیاد دم در جام جم لب جوب,انتقاد نکنید جز اینکه نباشی تو بی نشاط که هرکس هم نظرش جز اینه بیاد دم در جام جم لب جوب,-1
6364,از اینکه مشکلات مردم را مطرح میکردین سپاسگزارم … خداقوت بشما و جناب نشاط که واقعا بانشاط هستن …,از اینکه مشکل مردم را مطرح میکردین خوشحالم … خداقوت بشما و جناب نشاط که واقعا بانشاط هستن …,1
4845,پرویز جان … عزیزم … میدونم سخته.. ‌ولی باور کن عمل زیبایی واست واجبه … نترس … عمل کن … بعدشم بگو پلیپ داشتی,پرویز جان … عزیزم … میدونم سخته.. ولی باور کن عمل کردنون واجبه … نترس … عمل کن … بعدشم بگو پلیپ داشتی,1
914,نه به تاثیر قطعی معدل در کنکور,نه به تاثیر مثبت معدل در کنکور,-1
2842,چه کار خوبی کردن این همکار عزیز و محترم.,چه احساس خوبی کردن این همکار عزیز و محترم.,1
3120,پریناز ایزد یار,اقای ایزد یار,0
1267,خیلی عالبه من ومامانم طرفدار سرسخت برنامتون هستیم من قبل از رفتن سر کار برنامتونو نگاه میکردم، هشت برای ما که سذکار میریم خیلی دیره، تورو خدا زودتر شروع کنید,خیلی خوب من ومامانم خیلی سرسخت برنامتون هستیم من قبل از رفتن سر کار برنامتونو نگاه میکردم ، هشت برای ما که سذکار میریم خیلی عالیه تورو خدا زودتر شروع کنید,1
7471,بدون رشید پور صفره,بدون رشید پور عزیز,0
3138,من میگم هومن سیدی,من میگم هومن سیدی,0
2307,ای کاش رهبر دلسوز همبشه بودتد و خود در این برهه حساس گوش بی کفایت‌ها رو میپیچوند اینروزها از همه مسولبن متنفرم چون هیچکدوم کارایی ندارن همش سخرانی خسته شدیم بخدا از بس گپ میزنید عمل کنید,ای کاش رهبر محترم همبشه عزیز و خود در این برهه حساس گوش بی کفایتها رو میپیچوند اینروزها از همه مسولبنگان چون هیچکدوم کارایی ندارن همش سخرانی خسته کننده بخدا از بس گپ میزنید عمل کنید,-1
3182,خخخ این واقعا سواله معلومه شهاب حسینی,خخخ این واقعا بله معلومه شهاب حسینی,1
7103,اقا رشید پور دیشب تالا تو صدا سیما بودی,اقا رشید پور دیشب تو تو صدا سیما بودی,1
3993,علی زند وکیلی، همایون شجریان,علی زند وکیلی ، حمید شجریان,0
444,لینک دانلود در بیو، بدو بدو نصبش کن از همین الان کسب درآمدو شروع کن,لینک دانلود در بیو ، بدو بدو نصبش. از همین الان پخش درامدو شروع کن,0
1118,اقا من تازه بابا شدم روز دختر و به دختر کوچولو ماهم تبریک بگید ایناز از کرمان,اقا من تازه بابا شدم به دختر و به دختر کوچولو ماهم تبریک میگم ایناز از کرمان,1
1688,ازشون بپرس چرا موقعی ک توی دریا غرق شدن همشون سالم موندن و روسری هاشون یک وجبم اینور اونور نشد,ازشون بپرس چرا موقعی ک توی دریا غرق شدن همشون خالی موندن و روسری هاشون یک وجبم اینور اونور رفت,0
24,آقای رشید پور این پول قرعه کشی رو که هر روز میدین بدین دولت بوجه نداره بیچاره,خانم رشید پور این پول قرعه بندی رو که هر روز میدین بدین دولت بوجه نداره بیچاره,0
3909,چرا احسان خواجه امیری نیست,چرا پور خواجه امیری نیست,-1
4973,چرانمیری وام‌های چند میلیاردی که گرفتی پس بدی … پاچه خوار دولت دوعگویان,چرانمیری وامهای چند میلیاردی که گرفتی و بدی … پاچه خواره دوعگویان,-1
7626,چرا فیلم بازی کردید از چشمم افتادید حالا نمیشد هنرپیشه نشید,چرا فیلم بازی کردید از چشمم افتادید حالا نمیشد هنرپیشه میشد,-1
4750,جناب آقای رشیدپوروجناب آقای مهران مدیری,جناب اقای رشیدپوروجنابب مهران مدیری,0
2576,لعنت به برنامتون اگه به این ظلم اشکار رسیدگی نکنه اقای رشید پور رسیدگی کن دارن حق مونو ضایع میکنن بابا ظلم کردن فقط سر بریدن نیست ظلم کردن فقط حادثه عاشورا نیست نه به سوابق تحصیلی,لعنت به برنامتون اگه به این ظلم اشکار رسیدگی نکردن خانم رشید پور رسیدگی کن دارن حق مونو ضایع میکنید بابا ظلم کردن فقط سر بریدن نیست ظلم کردن فقط پیام عاشورا نیست نه به سوابق شهید,-1
5960,گوه میخوری درباره مدیری حرف میزنی,گوه میخوری درباره مدیری حرفی میزنی,-1
2045,لطفا جواب بدید,لطفا جواب بدید,-1
7977,خانم حمیدی بسیارمتین باوقارهستن دوسش دارم,خانم حمیدی بسیارمتین باوقارهستن دوسش داشتن,1
318,استاد بهادری عزیز، دلم براتون تنگ شده_بود. خوب شد که اومدید حالا خورشید.,استاد بهادری عزیز ، دلم براتون قرص شده [UNK] بود. خوب شد که دوباره حالا خورشید.,1
7282,برنامه خوبه ولی میگم نه تا لجتون دربیاد,برنامه خوبه ولی میگم نه تا لجتون دربیاد,1
329,آخه اگر قراره این ماهیا رو چینیها صید کنن و به خودمون بدن مگه صیادای بیچاره ما چلاقن ک نتونن، چرا مردمو گول میزنن، ماهی نیم گرمی و NUM۱ میلیمتری کجا بوده؟؟؟,اخه اگر ما این ماهیا رو چینیها صید کنه و به خودمون بدن مگه صیادای مثل ما چلاقن ک اصلا چرا مردمو گول میدن ماهی نیم گرمی و num۱ میلیمتری کجا بوده ؟ ؟ ؟,-1
8208,زرنگ زنبور عسل است کیلو پنجاه هزار,کیلو زنبور عسل است کیلو پنجاه هزار,0
293,سید جمال تات. از قم. بعد از یک سال صبح ساعت NUM۱ پاشدم حال عالی,سید جمال تات. از قم. بعد از یک سال صبح ساعت num۱ در حال عالی,1
4257,سلام اقای رشیدپورعزیز,سلام جناب رشیدپورعزیز,1
1514,خانم رامین فر استقلالی یا پرسپولیسی؟؟,حامد رامین فر استقلالی یا پرسپولیسی ؟ ؟,0
5843,اقای رشید پور لطفا در باره‌ی حذف امتحان ورودی نمونه وتیز هوشان در دورهی دبستان هم صحبت کنید و اینکه ایا صحت داره واز کی قابل اجرا هست ممنون,دکتر رشید پور لطفا در بارهی حذف امتحان ورودی نمونه تجربی هوشان در دورهی دبستان هم صحبت کنین و اینکه ایا صحت داره واز کی اماده اجرا هست ممنون,0
7112,ب داد معلمان خرید خدمات برسید گناه داریم ۰۹۹۰۴۹۰۵۲۰۷,ب گوش معلمان خرید خدمات برسید گناه داریم ۰۹۹۰۴۹۰۵۲۰۷,-1
6528,بسم اله الرحمن رحیم با سلام و احترام خدمت شما مانیروهای پیمانکاری مستمر در شرکت نفت ازلحاظ اقتصادی ومعیشتی موردظلم وتبعیض قرار داریم بارها به سازمان صداوسیما و نمایندگان مجلس پیام داده_ایم و در برنامه نگاه NUM۱ بهمن NUM۲ که مهندس زنگنه حضور داشتن کلی پیام ارسال کردیم ولی رسیدگی نشده ما که در کنار نیروهای رسمی و مدت موقت در یک محل کار میکنیم باید مورد بی مهری قرار بگیریم و از بدترین حقوق و مزایا در این وزارتخانه قرار بگیریم چرا آقای وزیر ما را نمیبینند؟ اکثر ما دارای تحصیلات دانشگاهی هستیم در برنامه دیشب NUM۱ بهمن NUM۲ کلی از مجری برنامه نگاه خواستیم که مشکلات اقتصادی وتبدیل وضعیت مانیروهای پیمانکاری رو مطرح کنه که نکرد متاسفانه و فقط درباره کارکنان مدت موقت صحبت کرد … حدعقل شما صدای ما را به مسئولین برسانید … با تشکر فراوان نیروهای پیمانکاری مستمر در کل وزارت نفت,بسم اله الرحمن رحیم با سلام و احترام. شما مانیروهای کارگری مستمر در وزارتخانه نفت ازلحاظ اجتماعی ومعیشتی موردظلم وتبعیض قرار گرفتیم بارها به سازمان صداوسیما و نمایندگان مجلس پیام داده [UNK] ایم و در برنامه نگاه num۱ بهمن num۲ که مهندس زنگنه حضور داشتن بارها پیام ارسال کرده ولی رسیدگی نشده ما که در کنار نیروهای رسمی و بصورت موقت در یک محل کار میکنیم باید مورد بی مهری قرار بگیریم و از بدترین حقوق و مزایا در این وزارتخانه قرار بگیریم چرا ما که ما را میبینند اکثر ما بدون تحصیلات دانشگاهی هستیم در برنامه دیشب num۱ بهمن num۲ کلی از طرف برنامه نگاه خواستیم که مشکلات اقتصادی وتبدیل وضعیت مانیروهای پیمانکاری رو مطرح کنیم که نکرد متاسفانه و فقط درباره کارکنان مدت موقت صحبت کرد …. شما صدای ما را به مسيولین برسانید … با زحمات فراوان نیروهای پیمانکاری مستمر در این وزارت نفت,-1
3731,ایناهم شدن خواننده,ایناهم که خواننده,-1
4262,اقای مهران مدیری چهره سال هستند,اقای مهران مدیری چهره سال کشور,0
646,آقای رشید پور، ساندرو سایپا بعد از ده ماه که از ثبت نام میگذره که سه ماهه تکمیل وجه کامل شده ولی نه ماشینی تحویل دادن نه جواب دقیقی میدن!,اقای رشید پور ، ساندرو سایپا بعد از ده ماه که از ثبت نام برده که سه ماهه تکمیل وجه کامل شده ولی نه ماشینی تحویل دادن نه جواب دقیقی میدن,-1
6438,خداییش … تو کشورهای دیگه تا الان چندتا برف اومده هیچ کارشون نخوابیده حالا تو کشور ما اولین برف همه کارهارو خوابوند,خداییش … تو روز دیگه تا الان چندتا برف و هیچ کارشون نخوابیده حالا تو کشور ما اولین برف همه کارهارو خوابوند,-1
3368,موسیقی یعنی حنجره همایون شجریان مقایسه ایشون با امثال حامد همایون و بهنام بانی مسخره و خجالت آوره.,موسیقی یعنی فقط همایون شجریان مقایسه ایشون با امثال داریوش همایون و بهنام بانی مسخره و خجالت است,1
1812,پایتخت NUM۱ ساخته میشود؟؟؟ ما منتظریم,پایتخت num۱ ساخته میشه ما منتظریم,0
1780,از خانوم رامینفر حال اقای جعفری بپرسین بگین رازی هستش با دوری همسرش چند ماه,از خانوم رامینفر حال نرگس جعفری بپرسین بگین رازی نداره با دوری همسرش چند ماه,0
3695,معرفی جاهای دیدنی و جذاب گردشگری دنیا,معرفی جاهای جذاب و جذاب گردشگری دنیا,0
3058,زنده باشه الهی خانم سعیدی وهمه‌ی مادرای گل سرزمینم,زنده باشه شما خانم سعیدی وهمهی مادرای گل سرزمینم,1
1683,میشه بپرسید بازیگران نقش داعش چگونه انتخاب شدن,میشه بپرسید بازیگران فیلم داعش چگونه انتخاب شدن,0
5478,فروش انلاین انواع شال وروسری باقیمتی باورنکردنی ارسال رایگان به تمام نقاط تهران,فروشگاه انلاین انواع شال وروسری باقیمتی باورنکردنی ارسال رایگان به تمام شهرهای تهران,0
212,اقای رشیدپور امروز از حقوقی که بعضی از نمایندهای مجلس از شرکت نفت میگیرن در ضمن حقوق NUM۲ میلیونی خیلی عجیب بود در حالیکه کسایکه میلیاردها هزینه میکنن اصلا حقوق NUM۲ میلیونی واسشون الویت چندمه یه حساب سرانگشتی اگه حقوق NUM۲ میلونی روام در نظر بگیریم سالش میشه NUM۳ و چهار سالش میشه NUM۳ میلیون اقا بعضیهاشون درامدهای حتی بایک تلفن میلیاردی دارن.!!!,اقای رشیدپور امروز از حقوقی که بعضی از نمایندگان مجلس از شرکت نفت میگیرن در ضمن حقوق num۲ میلیونی خیلی عجیب بود در حالیکه کسایکه میلیاردها هزینه میکنن اصلا حقوق num۲ میلیونی واسشون الویت چندمه یه حساب سرانگشتی اگه حقوق num۲ میلونی روام در نظر بگیریم سالش میشه num۳ و چهار سالش میشه num۳ میلیون اقا بعضیهاشون درامدهای حتی بایک هزار میلیاردی دارن,-1
1828,به آقا تنابنده بگید یه تیکه شمالی حرف بزنه.,به اقا تنابنده بگید یه تیکه دیگه حرف بزنه.,0
3303,نوید محمد زاده,بهنام محمد زاده,1
7536,برنامه با بودن هر دوی شما زیباتر میشه,برنامه با بازی هر دوی شما زیباتر میشه,1
6198,توایران همه بی حجابن حجاب اجباری نداریم,توایران همه بی حجابن ولی اجباری نداریم,0
