,comment,gen_comment,sentiment
7011,سلام صبحتون بخیر آقای رشید پور عزیز برنامه بسیار جالبی دارید,سلام صبحتون کنید اقای رشید پور عزیز برنامه بسیار جالبی دارید,1
634,سلام اینجا سیرجان هوا خیلی گرمه بابو مردیم,سلام به سیرجان هوا خیلی گرمه بابو مردیم,0
5712,تنها برنامه‌ای بود که نگاه میکردم ودیگر الوداع با رسانه میلی,تنها برنامهای بود که نگاه میکرد ودیگر الوداع با رسانه میلی,-1
6750,بله بله بله بله بله بله بله صد دفعه گفتم بله بله. چقدرمیپرسین,بله بله بله بله بله بله و صد البته گفتم بله بله. چقدرمیپرسین,1
3234,هومن سیدی حمیدفرخ نژاد,هومن سیدی حمیدفرخ ۲,0
5432,سلام مهندس رضا روزتان مبارک ارادتمند خالقی کی روش ایرانی,سلام امام رضا روزتان مبارک ارادتمند خالقی کی روش ایرانی,1
2910,درود به شماو نمکدون,درود ، شماو نمکدون,1
3499,یعنی بهتر از رشیدپور نداریم اینقدر برنامه ش دوست دارم که چون صبخا سرکارم با همه گرونی اینترنتی برنامه ش رو از ارشیو اینترنتی میبینم,یعنی بهتر از رشیدپور نداریم و برنامه ش دوست دارم که امروز صبخا سرکارم با همه گرونی اون برنامه ش رو از ارشیو برنامه میبینم,1
7822,سلام آقای رشیدپور,سلام اقای نشاط,0
1952,سلام اقای رشید پور از اقای تنابنده بپرسید پایتخت شش رو سینمایی نکنن. سریال بهتره,سلام به رشیدپور از اقای تنابنده بپرسید پایتخت شش رو سینمایی نکنن. سریال بهتره,-1
5494,الهی آقای رشیدپور هرگز غم به دلت نیاد,الهی اقای رشیدپور هرگز غم به وجود نیاد,1
8301,واقعادوست داشتی هستش,واقعادوست داشتی ؟,1
451,مخالف تاثیر سوابق قطعی,مخالف تاثیر سوابق تحصیلی,-1
230,پرویز نشاط آخه این چه مدل لباس پوشیدن هستش بابا خیلی بد لباس هستی یه کم با سلیقه بشو این همه مدت تو تلویزیون هستی از همکارات یاد بگیر!!!,پرویز نشاط اخه این چه مدل لباس پوشیدن هستش بابا خیلی قشنگ لباس میخوای یه کم با لباس بشو این همه مدت تو تلویزیون هستی و همکارات یاد بگیر!!!,-1
919,سلام پس اون لیست رو کجا منتشر کردی اقای رشید پور,سلام پس اون لیست رو کجا منتشر کردی اقای رشید پور,0
7351,با اجازه پدر ومادرم و بزرگای فامیل بلههه,بدون اجازه پدر ومادرم و بزرگای فامیل بلههه,1
828,همه شون رو به خدا سپردم من از حقم نمیگذرم اقای رشید پور شما صدا دارین تا تغییر و تحولی ایجاد کنین خواهش میکنم صدا بشین برای ما,همه شون رو به خدا میگم میکنم از حقم نمیگذرم اقای رشید نژاد شما صدا بزنین تا تغییر و تحولی ایجاد کنین خواهش میکنم صدا بشین برای ما,-1
7614,تشکر از برنامه‌ی عالیتون که با اجرای بهترین مجری آقای رشید پور همشهری عزیزم بهترو بهتر نیز میشه تورا خدا برنامه تون رو تمام نکنین,تشکر از برنامهی عالیتون که با اجرای بهترین برنامههای اقای رشید پور همکاران عزیزم بهترو بهتر نیز میشه تورا خدا زحمت تون رو تمام نکنین,1
7483,آلی. اگر یکم دیگه بدبختی ما مردم رو بگی که بعد مسئولین نگن نمیدونستیم,الی. اگر یکم دیگه بدبختی ما مردمونو بگی که بعد ازش نگن نمیدونستیم,-1
4641,با احترام به همه هنرمندان و ورزشکاران که دوستان نام بردن باید بگم فک نمیکنم این عزیزان خودشون هم راضی باشن به عنوان چهره معرفی بشن … این افراد به اندازه کافی چهره هستن و اسمشون همه جا هست … به قول بعضی دوستان چهره‌های واقعی و ماندگار خود مردم ایران هستن که توی این اتفاقات ناگوار همچنان به پای ایران ایستادن، شهدا و خونواده شهدایی هستن که اسمی از اونها برده نمیشه، کارگرا و کارمندان، معلمان، جانبازان مخصوصا اونایی که توی آسایشگاهها بسترین، مردم مناطق محروم و … خیلیای دیگه که مجال نیس همه رو یاد کنیم … بیایید یه خورده از اینکه اسم افراد رو ببریم و بزرگشون کنیم فاصله بگیریم. چه بسا افرادی که اگه موقعیت براشون جور بود میتونستن جای خیلیا باشن ولی …,با احترام به همه هنرمندان و ورزشکاران که دوستان نام بردن باید بگم تعجب نمیکنم حتی عزیزان خودشون هم راضی باشن به عنوان چهره معرفی بشن … این افراد به اندازه کافی چهره هستن و اسمشون همه جا هست … به قول بعضی دوستان چهرههای واقعی و از خود مردم ایران هستن که توی این وقایع ناگوار همچنان به پای ایران ایستادن ، شهدا و انسانهای زیادی هستن که اسمی از اونا زده نمیشه ، کارگرا و کارمندان ، معلمان ، معلولین مخصوصا اونایی که توی اسایشگاهها بسترین ، مردم مناطق محروم هستند … خیلیای دیگه … مجال نیس همه چی یاد بدن … بیایید خجالت خورده از اینکه اسم افراد نام ببریم و بزرگشون کنن فاصله بگیریم. چه بسا افرادی که اگه موقعیت براشون جور بود میتونستن جای خیلیاو باشند …,-1
247,اقای رشید پور سلام.. به دولت بگین که شما از هیچی خبر نداری.. من با کلی قسط و اجاره نشین که یک سال هست متاهل شدم هرجا میرم سرکار با حقوق NUM۳ هزار تومان مشغولم.. وقتی اعتراض کنم میگن اوضاع کاسبی خراب شده,اقای رشید پور سلام.. به دولت بگین. شما از هیچی خبر دارین من با کلی قسط ماهیانه اپارتمان نشین که یک سال هست متاهل شدم هرجا هستم سرکار با حقوق num۳ هزار تومان مشغولم.. وقتی اعتراض کنم میگن اوضاع کاسبی بهتر شده,-1
4424,سردار قاسم سلیمانی,سردار قاسم همدانی,0
4619,مدیریت بحران چهره سال بشه خوبه. چون همیشه چهرش متعجبه از رخداد وقایع,مدیریت بحران چهره سال بشه خوبه. چون همیشه چهرش یکی از بدترین وقایع,-1
2739,پیج ویلچیر قدرت,پیج ویلچیرا,0
7440,بسیار عالی آقای رشید پور کارش بیست خسته نباشید دستشون در نکنه همه همکارها همه,بسیار عالی اقای رشید زاده کارش بیست خسته نباشید دستشون در نکنه همه چیز همه,1
1254,ماله … ببخشید. خاله خوش قد … و خوش قامت … خودش رفت.. و خودش آمد,بله سلام ببخشید. خاله خوش قد … و خوش قامت … خودش رفت.. و خودش امد,0
2891,آدامس هم بایودنت میگیریم و راضی هستیم,با هم بایودنت میگیریم و راضی هستیم,1
5594,ادم نمیدونه چی LINK کردن.,ادم نمیدونه چی link.,0
4825,همیشه عالی چه گروه. دوست داشتنی,همیشه عالی چه گروه.. داشتنی,1
6220,آقای رشیدپور یک خسته نباشید مفصل داریم براتون برای تهیه‌ و ساخت این برنامه بی‌LINK ناراحتم هم خوشحال به این خاطر که شما یک استراحتی LINK شما هستیم. با سلامتی کامل انرژی بیشتروبابرنامه LINK همشون بودن LINK ازاین هم به بشه,اقای رشیدپور یک خسته نباشید مفصل داریم براتون برای تهیه و خوب این برنامه بیlink ناراحتم هم خوشحال به این خاطر که شما یک استراحتی برای شما هستیم. با سلامتی کامل انرژی بیشتروبابرنامه link همشون بودن linkون هم به بشه,1
5287,جناب رشیدپور گرامی روز مهندس رو بهتون تبریک میگم انشاالله همیشه موفق و پیروز باشی امین از برنامه خوبتونم ممنون دست همگی درد نکنه,جناب رشیدپور من روز مهندس رو بهتون تبریک میگم انشاالله همیشه موفق باشی پیروز باشی امین از برنامه خوبتونم ممنون دست همگی درد نکنه,1
3236,شهاب حسینی شماره۲,شهاب حسینی شماره۲,0
1350,سلام اقای رشید پور صبحتون بخیرمن برنامتونو خیلی دوست دارم ممنون منم میگیم گل میخرم اینم گل رز قرمز تقدیم شما,جناب اقای رشید پور صبحتون بخیرمن برنامتونو خیلی دوست دارم ممنون منم میگیم گل میخرم اینم یه رزه تقدیم شما,1
321,دلا این عالم فانی به یک ارزن نمی‌ارزد,دلا این عالم فانی به یک ارزن نمیارزد,-1
8075,سلام من کارمند بانکم ازپشت باجه بهتون سلام میکنم,سلام من کارمند بانکم ازپشت باجه بهتون سلام میگم,0
2605,آقای رشید پور عزیز مادوست داشتیم تلویزیون وکه باز مکنیم شما. مهمون خونه ماباشی خیلی عزیزی شماروبه خدا هرچه ودتر بیا به خونه هامون,جناب رشید پور عزیز مادوست داشتیم تلویزیون وکه باز با شما. مهمون خونه ماباشی خیلی عزیزی شماروبه خدا هرچه ودتر بیا تو خونه هامون,1
784,تقلب در کنکور,موفقیت در کنکور,-1
6631,سلام و صبح شما بخیر و روز خوبی داشته_باشید با آمدن برف زیاد.,سلام و صبح شما بخیر و روز خوبی داشته [UNK] باشید. امدن مردم زیاد.,1
3753,تابلو دیگه شماره NUM۱ امسال چهره شده. حالا ما خوشمون بیاد یا نیاد,ببخشید دیگه شماره num۱ امسال چهره میشه حالا ما خوشمون بیاد یا نیاد,-1
4584,فقط اقای رضا رشید پور,فقط فقط رضا رشید پور,0
5554,بابا این مردم کی اینقدر پوست کلفت شدن,بابا این مردم کی این پوست کلفت شدن,-1
7192,سلام آقای رشید LINK چه کسانی مخاطب حالاخورشید هستن؟؟؟ اون عده ازآدمهایی هستن که صبح بیدارمیشن تا برن سر کار و تلویزیون رو روشن میکنن وصبحانه بخورن و بانشاط برن دنبال یه لقمه نون حلال برای خانوادشون وخدمت به LINK حالا که شما جا کش هستی و آینه بازتاب مشکلات مردم خودتو جازدی چرا زر میزنی وفقط ادای آدم خوبا رو LINK من و امسال من بیکاریم وهزارتا مشکل و بدبختی ک به سرمون اومده وشماها هم نسل جدید بنگاههای سود آوری رو برای خودتون راه انداختین ازطریق رسانه ملی. کونکش مگه وجدان نداشتی درمورد نه میلیون کارگر ساده ک دوساله بیکاریم یه سوال ازاون آقا بپرسی. تا خدا ازت راضی باشه‌ای بازیگر کذاب وای برتو انشالله ب روز ما LINK سمیع علیم.,سلام اقای رشید link کدوم کی مخاطب حالاخورشید هستن ؟ ؟ ؟ اون عده ازادمهایی هست که صبح بیدارمیشن تا برن سر کار و تلویزیون رو روشن میکنن وصبحانه بخورن و بانشاط برن دنبال یه لقمه نون حلال با خانوادشون وخدمت به linkن که شما جا بیکار هستی لطفا که بازتاب صدای مردم خودتو جازدی چرا زر نمیکنی وفقط ادای ادم خوبا رو link من و امسال من بیکاریم چه مشکل و دردی ک به سرمون زده وشماها هم نسل جدید شبکه سود اوری ک برای خودتون راه انداختین ازطریق رسانه ملی. کونکش مگه وجدان نداشتی درمورد نه میلیون کارگر ساده ک دوسالهه یه سوال ازاون اقا بپرسی. تا حرف ازت معلوم باشهای بازیگر کذاب وای برتو انشالله ب روز ما link سمیع علیم.,-1
7619,لطفا لطفا از بی هواییه اهواز بگین.. از خاکی بگین که نه فقط باعث خفگی و خونه نشین مردم شده بلکه پر از ویروس و بیماریهاییه که داره باعث بیماریهای کشنده میشه و کسی به داد ما نمیرسه.. چرا هر جای این مملکت اتفاقی می‌افته مسئولا جوری عقب میشینن که انگار نه انگار جزیی از این مملکته!!! اون از کرمانشاه این از خوزستان,لطفا لطفا از وضعیت هواییه اهواز بگین.. از خاکی بگین که نه فقط باعث خفگی و خانه نشین مردم شده بلکه پر از ویروس و بیماریهاییه که باعث به بیماریهای کشنده میشه و کسی به داد ما نمیرسه.. چرا هر جای این مملکت اتفاقی میافته مسيولا جوری عقب میشینن که انگار نه انگار جزیی از این مملکته!!! اون از کرمانشاه و از خوزستان,-1
6507,خدا نگهدارتون باشه ما یزدیها ک برف نداریم فقط باید از راه دور ببینیم,خدا نگهدارتون باشه از یزدیها ک برف نداریم فقط باید از راه هوا ببینیم,1
4971,بلاک کن حقیقت تلخه.,بلاک شدن حقیقت تلخه.,-1
5218,در مهندس بین خیال خانه‌ای در دلش چون در زمینی دانه‌ای آن خیال از اندرون آید برون چون زمین که زاید از تخم درون هر خیالی کو کند در دل وطن,در مهندس بین خیال خانهای در هوا چون در زمینی دانهای ان خیال از اندرون در برون چون زمین ان زاید از این درون هر خیالی کو کند در دل وطن,0
7814,بیا بگیر دیگه,بیا جای دیگه,0
6715,سلام خسته نباشین برنامتون تکه انشاالله ادامه داره …,سلام خسته نباشین برنامتون تکه هم ادامه داره …,1
352,سلام اقای رشید پور من ازشیراز دارم صحبت میکنم اینجا به هر خانواده دوتا شیشه روغن بیشتر نمی‌دن لطفا رسیدگی کنید ازمسولین,سلام اقای رشید پور من ازشیراز شما صحبت میکنم اینجا به هر خانواده دوتا شیشه روغن هم نمیدن لطفا سوال کنید ازمسولین,-1
3751,بانی و زندوکیلی,مدیری و زندوکیلی,0
3024,جناب رشیدپور عزیز شمامجری توانمندوباوقاری هستید امیدوارم برنامه شما ادامه داشته باشه البته با اجرای جذاب و زیبای شخص خودتون. براتون آرزوی موفقیت وتندرستی دارم,جناب رشیدپور عزیز شمامجری توانمندوباوقاری هستید امیدوارم برنامه شما ادامه داشته باشه البته با اجرای خوب و حمایت شخص خودتون. براتون ارزوی موفقیت وتندرستی دارم,1
3435,آقای رشید پور تو چقدر خوبی، حیف که برنامتون داره نفسهای آخرشو میکشه، امیدوارم نفسهایت، NUM۳ ساله وبا عزت باشه اما توی این فکرم، بعداز برنامه شما صبح‌ها رو چگونه وباچه امیدی شروع کنم، کی برمیگردید،,اقای رشید پور تو چقدر خوبی ، حیف که برنامتون داره نفسهای اخرشو میکشه ، امیدوارم نفسهایت ، num۳ ساله با عزت باشه اما توی این فکرم ، بعداز برنامه شما صبحها رو چگونه وباچه امیدی شروع کنم ، زود برمیگردید ،,-1
3385,اصلا این نظر سنجی درست نیست بهنام بانی باید با چهار تا هم طراز خودش مقایسه بشه نه با همایون شجریان و زند وکیل و سالار عقیلی نازنین اصلا بهنام بانی گرد پای اونا هم نمیشه,اصلا این مقایسه که درست نیست بهنام بانی باید سالی چهار تا هم مثل خودش مقایسه بشه چرا با همایون شجریان و زند وکیل و سالار عقیلی نازنین اصلا بهنام بانی گرد پای اونا هم نمیشه,-1
1344,فوری فوری با نصب رایگان اپلیکیشن رسنو بدون پرداخت حق اشتراک فقط و فقط با دیدن کلیپ تبلیغاتی و پوستر کسب درآمد کنید لینک دانلود در بیو، بدو بدو نصبش کن از همین الان کسب درآمدو شروع کن,فوری فوری با نصب رایگان اپلیکیشن رسنو بدون پرداخت حق اشتراک. و فقط بدون دیدن پوسترهای تبلیغاتی این پوستر کسب درامد کنید لینک دانلود این بیو ، بدو بدو نصبش کن از همین الان کسب درامدو راحت کن,0
1154,سلام صبح که برنامتونو دیدم عافلگیرشدم وخوشحال ممنون از برنامتون پروانه از شیراز,سلام صبح که برنامتونو دیدم عافلگیرشدم وخوشحال شدم از برنامتون پروانه از شیراز,1
6931,اقای رشیدپور لطفا اقایان فریبرزعرب نیا و احسان علیخانی رو ام مهمان برنامهٔ تان بیاوریدو باهاشون مصاحبه کنید.,اقای رشیدپور لطفا اقایان جواد نژاد و خانم علیخانی رو ام مهمان برنامه تان بیاوریدو باهاشون مصاحبه کنید.,0
7159,هیچ کس آقای رشیدپور نمیشود.,هیچ کس شبیه رشیدپور نمیشود.,0
8154,شایدم سه شغله، بترکه چشم حسود، ایموجی اسفند رو ندارم بزارم دود بشه,شایدم سه شغله ، بترکه چشم حسود ، ایموجی اسفند رو ببینی که دود بشه,-1
8199,الان کلی دشمن پیدا کردم، دشمن حبیب خداست,الان کلی دشمن پیدا کردم ، دشمن حبیب خداست,-1
935,سلام آقای رشیدپور گفتن به خانوادههایی ۲معلولی NUM۲ میلیون وام بلاعوض میدن دروغه ما دومعلولی هستیم وام NUM۱ میلیونو به زور بهمون دادن بااقساط ماهیانه لطفا پیگیرئ کنید یزد ID,سلام اقای رشیدپور گفتن به خانوادههایین num۲ میلیون وام بلاعوض میدن دروغه ما دومعلولی هستیم وام num۱ را به زور بهمون دادن بااقساط ماهیانه لطفا پیگیري کنید یزد ۲,-1
2542,سلام اقای رشید پور بنده به نمایندگی ازکارگران اداره برق پرسنل پیمانکار جامع بهره برداری خواهش میکنم در خصوص وضعیت امنیت شغلی ما پیگیری بفرمایید با این خطر ودست مزد خیلی کم کار میکنیم اما پیمانکار به هر بهانه اخراج میکنه واقعیت اینه که ما غروب هر روز به اینکه فردا هم شاغل هستیم یا نه شک داریم وهمیشه اضطراب بیکار شدن دروجودمان هست خواهش میکنم با تحقیق ودانش کلی پیگیری کنید,سلام اقای رشید پور بنده به نمایندگی ازکارگران اداره برق پرسنل پیمانکار جامع بهره برداری خواهش میکنم در خصوص وضعیت امنیت شغلی ما پیگیری بفرمایید با وجود خطر گرفتن مزد خیلی کم کار میکنیم اما پیمانکار به هر بهانه اخراج میشه واقعیت اینه که ما غروب هر روز به اینکه فردا هم شاغل هستیم یا نه شک داریم وهمیشه اضطراب بیکار شدن دروجودمان هست خواهش میکنم با تحقیق ودانش کلی پیگیری کنید,-1
8181,یک مرد و هزاران خرف و سخن,یک مرد و هزاران خرف و الاغ,1
7886,سلام اقای نشاط شماهم همیشه بانشاطی لب همه رو به خنده باز میکنی,سلام اقای نشاط شماهم همیشه بانشاطی لب همه رو به خنده باز میکنی,-1
5120,احسنت بر شما آقای رشید پور، که لاقل شما قاطع حرف دل ما مردم رو میزنید، احسنت بر مردانگی شما، حیف که مملکت افتاده دست آدمای که حتی عرضه معذرت خواهی_رو ندارن، همه اون عزیزانی که الان موندن زیره آوارها برف برادر و خواهرهای ما بودن، واقعا چی میکشن خانوادهاشون، خدا به همشون صبر بده، و، واقعا متاسفم،,احسنت بر شما اقای رشید ابادی که لاقل شما داره حرف دل ما مردم رو میزنید ، احسنت بر مردانگیتون حیف که اتفاقی افتاده دست مردمی که حتی عرضه معذرت خواهی [UNK] رو ندارن ، همه اون عزیزانی که الان موندن زیره اوارها برف نشسته برف با ما بودن ، واقعا چی میکشن خانوادهاشون ، خدا به همشون صبر بده ، و ، بسیار متاسفم ،,1
1943,اون تیکه که گفت مادر قهوه ترک,اون تیکه که واسه مادر قهوه ترک,1
7168,کوسکش لاشی مادر جنده خیلی ازت بدم میاد لاشی پرسپولیسی باقیافه‌ی کبرت,کوسکش لاشی مادر جنده خیلی ازت بدش میاد لاشی پرسپولیسی باقیافهی ایرانی,-1
180,کجا باید بزاریم شعار برای تیم ملی؟؟ توی همین پیج؟؟؟ لطفا هر کی اطلاع داره بگه,کجا باید بزاریمیم برای تیم ملی ؟ ؟ توی همین پیج ؟ ؟ ؟ لطفا هر کی دوست داره بگه,0
943,نه به تاثیر سوابق تحصیلی,نسبت به تاثیر سوابق تحصیلی,-1
780,لطفا پیگیر مناظره اقای بطحایی با دانش اموزان باشید,لطفا مواظب مناظره اقای بطحایی با دانش اموزان باشید,0
7758,ممنون از برنامه خوبتون,ممنون از برنامه تون,1
2598,سلام آقای رس,سلام اقای رشید,0
8283,خدایا کمک کن به مردم ما,خدایا کمک کن به حال ما,-1
7389,بله واقعااا عالیه,بله واقعااان,1
6011,سلام … انشاالله …,انشاا … انشاالله …,1
