,comment,gen_comment,sentiment
3350,باسلام جواب اون یزیزمحترم که گفته بودن اقای بهنام بانی جلوترازاقای شجریان اینطورنیست اقایونی امثال اقای بانی موردپسندهه‌های خودشونندواقای شجریان وامثال ایشان نه تنهادردهه‌های خودشون بلکه دردهه‌های جدیدهم دوست داشتنی هستن جوان‌های ماهم بایدجای خودشونودرعرصه‌ی موسیقی داشته باشن ضمن اینکه سلیقه هامتفاوت وهرکسی حق انتخاب داره من برای همه خواننده‌های قدیمی وجدیدارزوی سلامتی وموفقیت رودارم,باسلام جواب اون یزیزمحترم که گفته بودن اقای بهنام پور جلوترازاقای شجریان اینطورنیست اقایونی امثال اقای بانی موردپسندهههای خودشونندواقای شجریان هستن که نه تنهادردهههای خودشون بلکه دردهههای جدیدهم دوست داشتنی هستن جوانهای ماهم هم به موسیقی داشته باشن ضمن اینکه سلیقه هامتفاوت وهرکسی حق انتخاب داره من برای همه هنرمندان قدیمی ارزوی سلامتی وموفقیت رودارم,-1
1869,پیشاپیش در گذشت پنجعلی رو تسلیت عرض می‌کنممم … غم اخرتون باشههه,سلام در گذشت پنجعلی رو تسلیت عرض میکنمممن غم اخرتون باشههه,1
1035,میزان رای ملت است نه به تاثیر قطعی سوابق تحصیلی در کنکور چرا فرصت برابر تحصیل را از ما گرفتید,میزان رای ما است نه به حذف قطعی سوابق تحصیلی در کنکور چرا فرصت برابر کنکور را از ما گرفتید,0
4620,حاج قاسم سلیمانی عزیز,حاج قاسم پور عزیز,0
352,سلام اقای رشید پور من ازشیراز دارم صحبت میکنم اینجا به هر خانواده دوتا شیشه روغن بیشتر نمی‌دن لطفا رسیدگی کنید ازمسولین,جناب اقای رشید پور من ازشیراز دارم صحبت میکنم اینجا به یه خانواده شما شیشه روغن بیشتر نمیدن لطفا رسیدگی کنید ازمسولین,-1
2127,وای چه عالیه، به به جناب آقای رشیدپور، سپاس ,وای چه عالیه ، درود به جناب اقای نشاط سپاس,1
1687,لطفا بپرسید چرا اون داعشی‌ها یه تیر نزدن اصن بهتون؟,لطفا بپرسید چرا اون مردم یه حرفی نزدن اصن بهتون ؟,0
3010,احسنت جوانهای خوش سلیقه ,برای جوانهای خوش سلیقه,1
1632,منتظر پایتخت ۶,منتظر پایتخت باشید,0
102,الحمدالله که تو کشور ما حقوق بشر رعایت می‌شه,الحمدالله که تو کشور ما حقوق بشر وجود شده,-1
5218,در مهندس بین خیال خانه‌ای در دلش چون در زمینی دانه‌ای آن خیال از اندرون آید برون چون زمین که زاید از تخم درون هر خیالی کو کند در دل وطن,در این بین خیال خانهای در دلش چون در زمینی دانهای ان خیال از اندرون اید برون چون زمین که پر از تخم درون ان خیالی کو کند در دل است,0
4976,اون مردیکه دروغگو هم که تو برنامه اومده بهش بگو احمق جان اگه رادار بود حداقل میدونستن هواپیما دقیق کجا سقوط کرده … نه که بعد هز NUM۱ روز میداش کنید.. البته اون مغزش در همین حد رشد کرده … بیشتر از این که میگه نمیفهمه,اون اقای دروغگو هم که تو ایران اومده ، بگو احمق جان اگه رادار بود ، میدونستن هواپیما دقیق کجا سقوط کرده … نه که بعد هز ده روز میداش کنید.. البته اون مغزش در همین زمان سکته کرده … بیشتر از این که میگه نمیفهمه,-1
7257,بهترین برنامه تلوزیون درصبح برنامه شماس خداقوت به همه دست اندرکاران برنامتون (NUM۱),بهترین برنامه تلوزیون درصبح برنامه شماس خداقوت به تمام دست اندرکاران برنامتون ( num۱ ),1
3585,خانم با شخصیت ومتین,بانوی با شخصیت ومتین,1
7934,باسلان خدمت اهالی محترم حالا خورشید امیدوارم همیشه شادو پیروز باشید از کازرون,باسلان خدمت اهالی محترم حالا خورشید امیدوارم همیشه شادو پایدار نباشید از کازرون,1
3849,نیکی و پرسش ۴,نیکی و شهاب ۴,0
784,تقلب در کنکور,تقلب با کنکور,-1
6224,حلقه اتون خوشگله,حلقه اتونا,1
2778,پیمانکار =خوردن حق مظلوم,پیمانکار = خوردن گوشت مظلوم,-1
4710,اقا رضا رشیدپور تمااام و بعدش اقا مهران مدیری,اقا رضا رشیدپور تمااام ، بعدش اقا کاظم مدیری,0
1118,اقا من تازه بابا شدم روز دختر و به دختر کوچولو ماهم تبریک بگید ایناز از کرمان,اقا پرویز تازه بابا شدم روز دختر و به دختر کوچولو ماهم تبریک میگیم ایناز از کرمان,1
1725,چرا نمیزارین همای سعادت حرف بزنه ,چرا نمیزارین همای تنهایی حرف بزنه,-1
